id,web_name,first_name,second_name,team,team_code,element_type,position,now_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,form,points_per_game,selected_by_percent,status,tackles,recoveries,clearances_blocks_interceptions,defensive_contribution
34,Pau,Pau,Torres,Aston Villa,7,2,DEF,45,3,187,0,0,0,5,0,0,0,0,0,0,0,-4,11.2,1.9,2.0,1.5,3,0.00,0.01,0.01,4.79,0.6,1.0,0.3,i,1,9,8,9
35,Bogarde,Lamare,Bogarde,Aston Villa,7,3,MID,50,1,16,0,0,0,0,0,0,0,0,0,0,0,3,2.2,0.5,0.0,0.3,0,0.00,0.00,0.00,0.22,0.2,1.0,0.1,a,0,0,1,1
36,Maatsen,Ian,Maatsen,Aston Villa,7,2,DEF,45,9,335,0,0,1,7,0,0,0,1,0,0,1,22,34.8,24.5,43.0,10.2,4,0.28,0.45,0.73,6.54,1.8,2.2,0.5,i,7,10,17,24
37,Lindelöf,Victor,Lindelöf,Aston Villa,7,2,DEF,45,8,450,0,0,1,9,1,0,0,0,0,0,0,28,55.6,27.3,37.0,12.0,5,0.44,0.17,0.61,9.22,1.6,1.6,0.3,a,1,7,21,22
38,A.García,Andrés,García,Aston Villa,7,2,DEF,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,1.5,a,0,0,0,0
39,Nedeljkovic,Kosta,Nedeljkovic,Aston Villa,7,2,DEF,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.1,u,0,0,0,0
41,Buendía,Emiliano,Buendía Stati,Aston Villa,7,3,MID,59,21,401,1,0,1,8,0,0,0,0,0,0,3,73,5.0,44.2,24.0,6.4,5,0.92,0.24,1.16,7.86,4.2,4.2,0.9,a,9,20,5,34
44,Bailey,Leon,Bailey,Aston Villa,7,3,MID,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.1,u,0,0,0,0
45,McGinn,John,McGinn,Aston Villa,7,3,MID,54,17,434,0,2,2,7,0,0,0,2,0,0,1,65,29.4,51.4,15.0,9.1,5,0.77,0.24,1.01,8.29,3.4,3.4,2.2,a,5,17,8,30
46,Barkley,Ross,Barkley,Aston Villa,7,3,MID,50,10,308,0,0,1,8,0,0,0,0,0,0,0,66,41.8,81.5,31.0,15.5,4,0.38,0.14,0.52,7.36,2.0,2.0,0.3,a,7,16,5,28
47,Kamara,Boubacar,Kamara,Aston Villa,7,3,MID,50,15,443,0,1,2,7,0,0,0,0,0,0,0,85,47.0,55.6,2.0,10.5,5,0.12,0.16,0.28,8.44,3.0,3.0,0.3,a,9,16,11,36
48,Onana,Amadou,Onana,Aston Villa,7,3,MID,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,i,0,0,0,0
